Trigger timestamp	Date	Time	Filename	GPS Timestamp date	GPS Timestamp time	FIX	Longitude	E/W	Latitude	N/S	Altitude	Satellites locked	Compass variation	Speed over ground [m/s]	Track course	Compass heading 	
1500395675058319	18/07/2017	16:34:35.058	20170718163435058_01-00038.raw	18/07/2017	16:34:35.000	3D	2.8347651694	W	55.8905794343	N	168.284	12	0.000	0.010	87.652	0.000	
1500395676058331	18/07/2017	16:34:36.058	20170718163436058_01-00039.raw	18/07/2017	16:34:35.799	3D	2.8347651615	W	55.8905792090	N	168.265	12	0.000	0.017	213.603	0.000	
1500395677058339	18/07/2017	16:34:37.058	20170718163437058_01-00040.raw	18/07/2017	16:34:37.000	3D	2.8347650098	W	55.8905789847	N	168.209	12	0.000	0.006	180.000	0.000	
1500395678059101	18/07/2017	16:34:38.059	20170718163438059_01-00041.raw	18/07/2017	16:34:37.799	3D	2.8347649940	W	55.8905790376	N	168.254	12	0.000	0.017	213.603	0.000	
1500395679058357	18/07/2017	16:34:39.058	20170718163439058_01-00042.raw	18/07/2017	16:34:39.000	3D	2.8347642923	W	55.8905792136	N	168.421	12	0.000	0.013	306.864	0.000	
1500395680058913	18/07/2017	16:34:40.058	20170718163440058_01-00043.raw	18/07/2017	16:34:39.799	3D	2.8347641168	W	55.8905792702	N	168.466	12	0.000	0.022	177.443	0.000	
1500395681058376	18/07/2017	16:34:41.058	20170718163441058_01-00044.raw	18/07/2017	16:34:41.000	3D	2.8347637185	W	55.8905790889	N	168.612	12	0.000	0.019	358.546	0.000	
1500395682058385	18/07/2017	16:34:42.058	20170718163442058_01-00045.raw	18/07/2017	16:34:41.799	3D	2.8347638782	W	55.8905791859	N	168.629	12	0.000	0.006	180.000	0.000	
1500395683058395	18/07/2017	16:34:43.058	20170718163443058_01-00046.raw	18/07/2017	16:34:43.000	3D	2.8347637422	W	55.8905792613	N	168.587	12	0.000	0.006	180.000	0.000	
1500395684058403	18/07/2017	16:34:44.058	20170718163444058_01-00047.raw	18/07/2017	16:34:43.799	3D	2.8347634467	W	55.8905793908	N	168.553	12	0.000	0.000	0.000	0.000	
1500395685058414	18/07/2017	16:34:45.058	20170718163445058_01-00048.raw	18/07/2017	16:34:45.000	3D	2.8347631117	W	55.8905793503	N	168.580	12	0.000	0.017	322.106	0.000	
1500395686058423	18/07/2017	16:34:46.058	20170718163446058_01-00049.raw	18/07/2017	16:34:45.799	3D	2.8347632950	W	55.8905791162	N	168.489	12	0.000	0.006	180.000	0.000	
1500395687058432	18/07/2017	16:34:47.058	20170718163447058_01-00050.raw	18/07/2017	16:34:47.000	3D	2.8347634862	W	55.8905791578	N	168.426	12	0.000	0.013	47.565	0.000	
1500395688058442	18/07/2017	16:34:48.058	20170718163448058_01-00051.raw	18/07/2017	16:34:47.799	3D	2.8347639730	W	55.8905789692	N	168.380	12	0.000	0.010	87.652	0.000	
1500395689058452	18/07/2017	16:34:49.058	20170718163449058_01-00052.raw	18/07/2017	16:34:49.000	3D	2.8347661366	W	55.8905779974	N	168.392	12	0.000	0.008	176.578	0.000	
1500395690058928	18/07/2017	16:34:50.058	20170718163450058_01-00053.raw	18/07/2017	16:34:49.799	3D	2.8347674863	W	55.8905774495	N	168.506	12	0.000	0.014	357.959	0.000	
1500395691058469	18/07/2017	16:34:51.058	20170718163451058_01-00054.raw	18/07/2017	16:34:51.000	3D	2.8347683491	W	55.8905768888	N	168.633	12	0.000	0.006	180.000	0.000	
1500395692058478	18/07/2017	16:34:52.058	20170718163452058_01-00055.raw	18/07/2017	16:34:51.799	3D	2.8347683333	W	55.8905765891	N	168.619	12	0.000	0.014	357.959	0.000	
1500395693058487	18/07/2017	16:34:53.058	20170718163453058_01-00056.raw	18/07/2017	16:34:53.000	3D	2.8347675194	W	55.8905768115	N	168.687	12	0.000	0.013	227.565	0.000	
1500395694058497	18/07/2017	16:34:54.058	20170718163454058_01-00057.raw	18/07/2017	16:34:53.799	3D	2.8347671923	W	55.8905768957	N	168.717	12	0.000	0.006	0.000	0.000	
1500395695058508	18/07/2017	16:34:55.058	20170718163455058_01-00058.raw	18/07/2017	16:34:55.000	3D	2.8347675036	W	55.8905771163	N	168.773	12	0.000	0.019	207.966	0.000	
1500395696058516	18/07/2017	16:34:56.058	20170718163456058_01-00059.raw	18/07/2017	16:34:55.799	3D	2.8347675510	W	55.8905775619	N	168.739	12	0.000	0.010	267.652	0.000	
1500395697058526	18/07/2017	16:34:57.058	20170718163457058_01-00060.raw	18/07/2017	16:34:57.000	3D	2.8347674072	W	55.8905782178	N	168.811	12	0.000	0.006	0.000	0.000	
